Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Colour,Seats,No. of Doors,New_Price,Price
Skoda Rapid,Mumbai,2014.0,35000.0,Petrol,Manual,First,15.0 kmpl,1598 CC,103.52 bhp,Black/Silver,5.0,4.0,,4.5
Maruti Zen,Pune,2007.0,42000.0,Petrol,Manual,Third,18.2 kmpl,998 CC,67.1 bhp,Others,5.0,4.0,,1.3
BMW 3,Mumbai,2014.0,48000.0,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,Others,5.0,4.0,60.88 Lakh,26.5
Hyundai i20,Bangalore,2015.0,59000.0,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,Black/Silver,5.0,4.0,,5.75
Maruti Wagon,Chennai,2013.0,79000.0,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,White,5.0,4.0,,3.0
Honda Jazz,Kolkata,2010.0,45000.0,Petrol,Manual,First,16.0 kmpl,1198 CC,90 bhp,White,5.0,4.0,,2.0
Maruti Wagon,Ahmedabad,2008.0,60123.0,Petrol,Manual,Second,18.9 kmpl,998 CC,67.1 bhp,Others,5.0,4.0,,1.95
Maruti Vitara,Coimbatore,2018.0,64456.0,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,White,5.0,4.0,11 Lakh,10.46
ISUZU D-MAX,Jaipur,2017.0,25000.0,Diesel,Manual,First,12.4 kmpl,2499 CC,134 bhp,Others,5.0,4.0,,8.0
Maruti SX4,Delhi,2011.0,75000.0,Diesel,Manual,First,21.5 kmpl,1248 CC,88.8 bhp,Black/Silver,5.0,4.0,,2.5
Hyundai i10,Coimbatore,2014.0,31446.0,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,Others,5.0,4.0,,4.66
Honda Amaze,Hyderabad,2014.0,97236.0,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,White,5.0,4.0,,4.4
Maruti Wagon,Kochi,2011.0,15466.0,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,White,5.0,4.0,5.04 Lakh,3.36
Hyundai Xcent,Pune,2016.0,51000.0,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,White,5.0,4.0,,5.25
Jaguar F,Hyderabad,2015.0,8000.0,Petrol,Automatic,First,12.5 kmpl,5000 CC,488.1 bhp,Others,2.0,2.0,,100.0
BMW 3,Chennai,2009.0,137000.0,Diesel,Automatic,Second,13.2 kmpl,1995 CC,170 bhp,Others,5.0,4.0,,9.0
Mercedes-Benz C-Class,Mumbai,2018.0,8682.0,Diesel,Automatic,First,0.0 kmpl,1950 CC,194 bhp,White,5.0,4.0,52.26 Lakh,39.5
Volkswagen Polo,Kolkata,2012.0,55339.0,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,White,5.0,4.0,,2.65
Renault Duster,Delhi,2016.0,26000.0,Diesel,Manual,First,19.64 kmpl,1461 CC,108.45 bhp,White,5.0,4.0,,10.0
BMW 5,Mumbai,2013.0,78000.0,Diesel,Automatic,First,18.48 kmpl,1995 CC,177 bhp,Others,5.0,4.0,,19.5
Mahindra Thar,Coimbatore,2019.0,16392.0,Diesel,Manual,First,16.55 kmpl,2498 CC,105 bhp,White,6.0,5.0,,10.36
BMW 3,Chennai,2010.0,83000.0,Diesel,Automatic,First,16.07 kmpl,1995 CC,181 bhp,Others,5.0,4.0,,12.75
Maruti Alto,Hyderabad,2013.0,54000.0,Petrol,Manual,Second,20.92 kmpl,998 CC,,Others,5.0,4.0,,2.75
Hyundai i20,Kolkata,2016.0,19008.0,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,Others,5.0,4.0,,5.25
Hyundai i10,Kolkata,2015.0,18000.0,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,White,5.0,4.0,,2.85
Honda Amaze,Delhi,2015.0,48000.0,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,Others,5.0,4.0,,4.5
Audi A3,Mumbai,2016.0,39000.0,Diesel,Automatic,First,20.38 kmpl,1968 CC,143 bhp,Others,5.0,4.0,42.89 Lakh,18.9
Tata Xenon,Pune,2014.0,85000.0,Diesel,Manual,First,13.49 kmpl,2179 CC,138.03 bhp,White,5.0,4.0,,3.5
Toyota Innova,Coimbatore,2019.0,31271.0,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,White,8.0,5.0,24.01 Lakh,21.42
BMW X1,Pune,2011.0,102000.0,Diesel,Automatic,First,15.06 kmpl,1995 CC,177 bhp,Others,5.0,4.0,,13.75
Hyundai Getz,Hyderabad,2006.0,63181.0,Petrol,Manual,First,15.3 kmpl,1341 CC,83 bhp,Black/Silver,5.0,4.0,,1.85
Audi Q7,Bangalore,2014.0,45000.0,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,White,7.0,5.0,,37.9
Volkswagen Vento,Jaipur,2013.0,144000.0,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,Black/Silver,5.0,4.0,,7.0
BMW 3,Mumbai,2010.0,67000.0,Diesel,Automatic,Second,22.69 kmpl,1995 CC,190 bhp,White,5.0,4.0,47.87 Lakh,9.25
Volkswagen Vento,Jaipur,2013.0,125000.0,Diesel,Manual,Second,20.54 kmpl,1598 CC,103.6 bhp,Others,5.0,4.0,,6.25
Chevrolet Sail,Kolkata,2014.0,9500.0,Petrol,Manual,First,18.2 kmpl,1199 CC,82.5 bhp,Black/Silver,5.0,4.0,,3.5
Renault Duster,Bangalore,2014.0,52000.0,Petrol,Manual,First,13.24 kmpl,1598 CC,102.57 bhp,White,5.0,4.0,,5.99
Maruti Ertiga,Kolkata,2013.0,53073.0,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,Black/Silver,7.0,5.0,,5.95
Maruti Alto,Ahmedabad,2009.0,35000.0,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,White,5.0,4.0,,1.5
Hyundai Grand,Coimbatore,2016.0,29091.0,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,Others,5.0,4.0,6.82 Lakh,4.87
Renault Duster,Kochi,2015.0,82603.0,Petrol,Manual,First,13.06 kmpl,1598 CC,102.53 bhp,Others,5.0,4.0,,4.9
Volkswagen Jetta,Coimbatore,2016.0,44340.0,Diesel,Automatic,First,16.96 kmpl,1968 CC,138.03 bhp,Black/Silver,5.0,4.0,,13.83
Maruti Alto,Bangalore,2011.0,64357.0,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,Others,5.0,4.0,4.7 Lakh,2.75
Honda Jazz,Kolkata,2015.0,45000.0,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,White,5.0,4.0,,4.75
Maruti Ciaz,Coimbatore,2016.0,41810.0,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,Black/Silver,5.0,4.0,,7.11
Hyundai i10,Ahmedabad,2014.0,47003.0,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,Black/Silver,5.0,4.0,,3.67
Audi A6,Coimbatore,2009.0,48040.0,Diesel,Automatic,Second,16.77 kmpl,2967 CC,241.38 bhp,Black/Silver,5.0,4.0,,12.07
Honda Jazz,Kochi,2017.0,24700.0,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,Black/Silver,5.0,4.0,,7.07
Volkswagen Polo,Hyderabad,2012.0,63000.0,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,Others,5.0,4.0,,4.2
Honda CR-V,Pune,2015.0,63050.0,Petrol,Automatic,First,11.1 kmpl,2354 CC,158.8 bhp,White,5.0,4.0,,17.5
Mahindra XUV500,Kolkata,2013.0,87284.0,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,White,7.0,5.0,,7.8
Mercedes-Benz New,Hyderabad,2012.0,86000.0,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,White,5.0,4.0,,19.0
BMW 3,Kochi,2017.0,55389.0,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,Others,5.0,4.0,,28.45
Honda Civic,Mumbai,2008.0,87000.0,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,White,5.0,4.0,,2.35
BMW X1,Hyderabad,2014.0,45000.0,Diesel,Automatic,First,17.05 kmpl,1995 CC,184 bhp,Black/Silver,5.0,4.0,,21.5
Hyundai Verna,Coimbatore,2013.0,66930.0,Petrol,Manual,First,17.1 kmpl,1591 CC,121.3 bhp,Others,5.0,4.0,,6.15
Hyundai i10,Pune,2009.0,62500.0,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,White,5.0,4.0,,2.1
Honda Jazz,Hyderabad,2015.0,67000.0,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,Others,5.0,4.0,,6.9
Honda City,Coimbatore,2012.0,66245.0,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,Black/Silver,5.0,4.0,,5.68
Honda City,Mumbai,2010.0,69000.0,Petrol,Automatic,Second,16.8 kmpl,1497 CC,118 bhp,White,5.0,4.0,,2.85
Skoda Superb,Kochi,2016.0,61648.0,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,Others,5.0,4.0,,14.23
Maruti Ritz,Coimbatore,2011.0,90207.0,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,White,5.0,4.0,,3.91
Mitsubishi Pajero,Mumbai,2004.0,129000.0,Diesel,Manual,First,10.5 kmpl,2835 CC,107.2 bhp,White,6.0,5.0,,3.45
Toyota Corolla,Kolkata,2014.0,27000.0,Petrol,Manual,First,14.28 kmpl,1798 CC,138.03 bhp,White,5.0,4.0,,7.95
Hyundai Elantra,Pune,2013.0,48823.0,Diesel,Automatic,First,19.5 kmpl,1582 CC,126.24 bhp,Black/Silver,5.0,4.0,,8.5
Audi Q7,Hyderabad,2011.0,98000.0,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,Others,7.0,5.0,,22.0
Ford Figo,Bangalore,2010.0,78400.0,Petrol,Manual,Second,15.6 kmpl,1196 CC,70 bhp,Others,5.0,4.0,,2.75
Ford Figo,Hyderabad,2016.0,72566.0,Diesel,Manual,First,25.83 kmpl,1498 CC,99 bhp,White,5.0,4.0,,5.29
Honda City,Delhi,2011.0,68000.0,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,Black/Silver,5.0,4.0,,3.6
Hyundai EON,Pune,2015.0,55000.0,Petrol,Manual,First,22.0 kmpl,814 CC,55 bhp,Others,5.0,4.0,,2.61
Maruti Ertiga,Pune,2016.0,63000.0,Diesel,Manual,First,24.52 kmpl,1248 CC,88.5 bhp,White,7.0,5.0,,8.15
Nissan Teana,Mumbai,2015.0,74000.0,Petrol,Automatic,Second,11.07 kmpl,2496 CC,179.5 bhp,Others,5.0,4.0,,8.25
Honda Amaze,Jaipur,2018.0,6000.0,Petrol,Manual,First,19.5 kmpl,1199 CC,86.76 bhp,White,5.0,4.0,8.18 Lakh,6.7
Maruti SX4,Pune,2008.0,85000.0,Petrol,Manual,First,16.51 kmpl,1586 CC,103.2 bhp,Black/Silver,5.0,4.0,,2.5
Volkswagen Jetta,Kolkata,2012.0,67000.0,Diesel,Manual,First,19.33 kmpl,1968 CC,138.1 bhp,White,5.0,4.0,,5.0
Maruti Swift,Jaipur,2016.0,41460.0,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,White,5.0,4.0,,5.9
Mercedes-Benz CLA,Coimbatore,2017.0,13689.0,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,Others,5.0,4.0,,28.25
Land Rover Range,Delhi,2015.0,37000.0,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,White,5.0,4.0,,36.0
Volkswagen Polo,Kolkata,2012.0,45000.0,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,White,5.0,4.0,,2.99
Audi Q3,Coimbatore,2016.0,58661.0,Diesel,Automatic,First,15.17 kmpl,1968 CC,181 bhp,Others,5.0,4.0,48.64 Lakh,28.03
Ford Fiesta,Bangalore,2011.0,47000.0,Diesel,Manual,Second,23.5 kmpl,1498 CC,90 bhp,Black/Silver,5.0,4.0,,6.0
Tata Indica,Hyderabad,2011.0,96000.0,Diesel,Manual,Second,17.88 kmpl,1396 CC,52.8 bhp,White,5.0,4.0,,0.91
BMW 5,Pune,2008.0,112500.0,Diesel,Automatic,First,11.5 kmpl,2993 CC,235 bhp,Black/Silver,5.0,4.0,,7.99
Ford Ecosport,Coimbatore,2019.0,23154.0,Diesel,Manual,First,23.0 kmpl,1498 CC,98.96 bhp,Black/Silver,5.0,4.0,12.12 Lakh,11.65
Maruti Ciaz,Kochi,2018.0,41283.0,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,Others,5.0,4.0,,9.9
Audi Q7,Coimbatore,2012.0,91743.0,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,Black/Silver,7.0,5.0,,28.55
Volvo S80,Hyderabad,2008.0,79000.0,Diesel,Automatic,First,13.1 kmpl,2400 CC,215 bhp,Black/Silver,5.0,4.0,,10.99
Hyundai EON,Hyderabad,2013.0,84600.0,Petrol,Manual,Second,21.1 kmpl,814 CC,55.2 bhp,White,5.0,4.0,,2.5
Land Rover Range,Coimbatore,2017.0,49275.0,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,Others,5.0,4.0,,45.64
Ford Figo,Chennai,2010.0,107389.0,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,White,5.0,4.0,,1.9
Tata Indica,Chennai,2016.0,178000.0,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,Others,5.0,4.0,,2.5
Maruti Wagon,Kolkata,2015.0,14000.0,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,Black/Silver,5.0,4.0,,2.8
Maruti Swift,Coimbatore,2019.0,41075.0,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,Black/Silver,5.0,4.0,,8.4
Land Rover Range,Coimbatore,2013.0,75995.0,Diesel,Automatic,Second,11.49 kmpl,4367 CC,335.3 bhp,White,5.0,4.0,,65.81
Hyundai i10,Kochi,2014.0,58472.0,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,Others,5.0,4.0,,3.41
Toyota Innova,Coimbatore,2017.0,65367.0,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,Black/Silver,7.0,4.0,28.05 Lakh,20.14
Skoda Fabia,Jaipur,2009.0,87459.0,Petrol,Manual,First,14.7 kmpl,1390 CC,85 bhp,Others,5.0,4.0,,2.75
Volkswagen Vento,Kochi,2016.0,50867.0,Diesel,Manual,First,20.34 kmpl,1498 CC,103.2 bhp,Black/Silver,5.0,4.0,,7.95
Volkswagen Polo,Hyderabad,2013.0,74000.0,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,Others,5.0,4.0,,4.85
Maruti Wagon,Delhi,2011.0,68000.0,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,White,5.0,4.0,,2.5
Honda City,Pune,2014.0,58407.0,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,Others,5.0,4.0,,6.16
Audi A4,Ahmedabad,2011.0,59000.0,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,Others,5.0,4.0,,12.5
Maruti Swift,Coimbatore,2017.0,46849.0,Petrol,Automatic,First,18.5 kmpl,1197 CC,83.14 bhp,White,5.0,4.0,,6.93
Mercedes-Benz E-Class,Coimbatore,2018.0,41467.0,Diesel,Automatic,First,15.0 kmpl,2143 CC,204 bhp,Others,5.0,4.0,,37.98
Maruti Ciaz,Hyderabad,2017.0,15234.0,Petrol,Automatic,First,19.12 kmpl,1373 CC,91.1 bhp,White,5.0,4.0,,9.95
Mahindra Scorpio,Bangalore,2015.0,35000.0,Diesel,Manual,Second,15.4 kmpl,2179 CC,120 bhp,Others,7.0,5.0,,8.5
Honda Brio,Mumbai,2017.0,20000.0,Petrol,Automatic,First,16.5 kmpl,1198 CC,86.8 bhp,White,5.0,4.0,8.05 Lakh,5.99
Honda Amaze,Pune,2015.0,79000.0,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,Black/Silver,5.0,4.0,,4.0
Honda Jazz,Coimbatore,2017.0,49575.0,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,White,5.0,4.0,,7.17
Land Rover Discovery,Mumbai,2017.0,35000.0,Diesel,Automatic,First,18.0 kmpl,2993 CC,255 bhp,White,7.0,5.0,1.27 Cr,41.6
Ford Ikon,Jaipur,2010.0,82000.0,Diesel,Manual,Second,13.8 kmpl,1399 CC,68 bhp,White,5.0,4.0,,1.0
Ford Figo,Mumbai,2010.0,69009.0,Petrol,Manual,Second,15.6 kmpl,1196 CC,70 bhp,Others,5.0,4.0,,2.4
Audi A6,Kolkata,2010.0,35010.0,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,Black/Silver,5.0,4.0,,11.5
Toyota Innova,Delhi,2012.0,62000.0,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,White,7.0,4.0,,7.75
Toyota Corolla,Chennai,2009.0,32000.0,Petrol,Manual,Second,14.28 kmpl,1798 CC,138.03 bhp,Others,5.0,4.0,22.66 Lakh,4.95
Maruti Swift,Kochi,2015.0,35082.0,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,Black/Silver,5.0,4.0,,6.61
Maruti Wagon,Delhi,2009.0,60000.0,Petrol,Manual,First,18.9 kmpl,1061 CC,67 bhp,Others,5.0,4.0,,1.35
Hyundai Santa,Coimbatore,2013.0,65278.0,Diesel,Manual,First,14.66 kmpl,2199 CC,194.3 bhp,Others,7.0,5.0,,8.36
Maruti SX4,Jaipur,2016.0,70000.0,Diesel,Manual,First,23.65 kmpl,1248 CC,88.5 bhp,White,5.0,4.0,,8.85
Maruti Alto,Bangalore,2014.0,73000.0,Petrol,Manual,Second,24.7 kmpl,796 CC,47.3 bhp,Others,5.0,4.0,,2.75
Mahindra Bolero,Hyderabad,2017.0,40279.0,Diesel,Manual,First,16.5 kmpl,1493 CC,70 bhp,Others,7.0,5.0,,8.0
Hyundai i10,Ahmedabad,2014.0,51000.0,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,White,5.0,4.0,,3.75
Maruti Baleno,Kochi,2018.0,42243.0,Diesel,Manual,First,27.39 kmpl,1248 CC,74 bhp,White,5.0,4.0,,7.48
Volkswagen Vento,Kolkata,2015.0,39000.0,Petrol,Manual,First,15.04 kmpl,1598 CC,103.2 bhp,White,5.0,4.0,,3.99
Maruti Ritz,Kolkata,2011.0,150000.0,Petrol,Manual,First,18.5 kmpl,1197 CC,85.80 bhp,Others,5.0,4.0,,2.5
Maruti Swift,Kolkata,2016.0,100000.0,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,Others,5.0,4.0,,3.5
Maruti Dzire,Pune,2012.0,150000.0,Diesel,Manual,Third,28.4 kmpl,1248 CC,73.75 bhp,White,5.0,4.0,7.91 Lakh,2.25
Renault KWID,Kolkata,2017.0,25000.0,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,Others,5.0,4.0,,2.99
Maruti Wagon,Hyderabad,2015.0,45295.0,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,Black/Silver,5.0,4.0,,4.3
Volkswagen Vento,Jaipur,2016.0,33000.0,Petrol,Manual,First,16.09 kmpl,1598 CC,103.5 bhp,White,5.0,4.0,11.63 Lakh,7.7
Maruti Swift,Hyderabad,2016.0,52000.0,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,Others,5.0,4.0,7.27 Lakh,5.95
Maruti Celerio,Delhi,2014.0,21701.0,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,Black/Silver,5.0,4.0,,3.38
Hyundai i20,Coimbatore,2012.0,38214.0,Petrol,Manual,Second,18.5 kmpl,1197 CC,80 bhp,White,5.0,4.0,,4.05
Maruti Ertiga,Hyderabad,2015.0,59245.0,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,Others,7.0,5.0,,8.5
Chevrolet Optra,Jaipur,2007.0,118500.0,Petrol,Manual,First,12.9 kmpl,1598 CC,102.5 bhp,White,5.0,4.0,,1.25
Honda City,Coimbatore,2018.0,20300.0,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,White,5.0,4.0,17.38 Lakh,14.21
Mercedes-Benz GLC,Bangalore,2016.0,44414.0,Diesel,Automatic,First,17.9 kmpl,2143 CC,170 bhp,White,5.0,4.0,,42.5
Chevrolet Beat,Chennai,2012.0,81000.0,Diesel,Manual,First,25.44 kmpl,936 CC,56.3 bhp,White,5.0,4.0,,2.5
Honda City,Kolkata,2014.0,37298.0,Diesel,Manual,First,25.1 kmpl,1498 CC,98.6 bhp,Black/Silver,5.0,4.0,,4.9
Toyota Corolla,Delhi,2015.0,12000.0,Petrol,Manual,First,14.53 kmpl,1798 CC,138 bhp,Others,5.0,4.0,,11.0
Hyundai i20,Jaipur,2016.0,30292.0,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,Black/Silver,5.0,4.0,,6.3
Audi A4,Delhi,2012.0,60000.0,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,Others,5.0,4.0,,10.35
Hyundai i20,Ahmedabad,2011.0,72000.0,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,White,5.0,4.0,,3.25
Ford Figo,Hyderabad,2012.0,73500.0,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,White,5.0,4.0,,2.6
BMW 3,Kochi,2012.0,55598.0,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,Black/Silver,5.0,4.0,47.87 Lakh,11.5
Maruti Swift,Delhi,2015.0,24296.0,Petrol,Manual,First,20.85 kmpl,1197 CC,83.14 bhp,White,5.0,4.0,,4.65
Toyota Fortuner,Hyderabad,2010.0,100000.0,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,White,7.0,5.0,,13.0
Maruti Wagon,Delhi,2013.0,62000.0,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,White,5.0,4.0,,2.8
Chevrolet Beat,Coimbatore,2013.0,75421.0,Diesel,Manual,First,25.44 kmpl,936 CC,56.3 bhp,Others,5.0,4.0,,3.63
Honda City,Coimbatore,2012.0,60908.0,Petrol,Automatic,Second,15.6 kmpl,1497 CC,116.3 bhp,Others,5.0,4.0,,6.42
Maruti Swift,Hyderabad,2016.0,69000.0,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,Black/Silver,5.0,4.0,,4.79
Maruti Zen,Ahmedabad,2007.0,75180.0,Petrol,Manual,First,18.2 kmpl,1061 CC,64 bhp,Black/Silver,5.0,4.0,,1.65
BMW X3,Kochi,2017.0,36935.0,Diesel,Automatic,First,18.56 kmpl,1995 CC,190 bhp,White,5.0,4.0,,32.64
BMW 3,Hyderabad,2012.0,57156.0,Diesel,Automatic,Second,18.88 kmpl,1995 CC,184 bhp,Others,5.0,4.0,,18.0
Maruti Swift,Kochi,2016.0,45725.0,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,White,5.0,4.0,,5.34
Skoda Fabia,Mumbai,2009.0,86000.0,Diesel,Manual,First,19.4 kmpl,1422 CC,70 bhp,White,5.0,4.0,,2.75
Hyundai Grand,Jaipur,2015.0,14000.0,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,Black/Silver,5.0,4.0,,4.6
BMW 3,Mumbai,2013.0,25000.0,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,Black/Silver,5.0,4.0,47.87 Lakh,17.99
Nissan Micra,Pune,2011.0,72000.0,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,Black/Silver,5.0,4.0,,2.3
Toyota Etios,Pune,2011.0,37000.0,Petrol,Manual,First,17.6 kmpl,1496 CC,88.73 bhp,Black/Silver,5.0,4.0,,2.8
Maruti Wagon,Coimbatore,2008.0,53934.0,Petrol,Manual,Second,18.9 kmpl,998 CC,67.1 bhp,Black/Silver,5.0,4.0,,2.69
Mahindra Scorpio,Mumbai,2010.0,76477.0,Diesel,Manual,First,10.5 kmpl,2179 CC,120 bhp,White,8.0,5.0,,4.25
Maruti Ertiga,Kolkata,2014.0,47052.0,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,White,7.0,5.0,,5.99
